fixed acidity,volatile acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,alcohol,quality
7.1,0.26,14.4,35,189,9.1,7
7.1,0.26,14.4,35,189,9.1,7
7.1,0.26,14.4,35,189,9.1,7
5.9,0.24,12.3,34,134,9.5,6
6.5,0.21,2.5,70,138,11.4,7
7.7,0.27,5.3,30,117,12.2,6
9,0.27,4.9,27,95,11.3,6
7.3,0.34,3.2,14,136,10.2,5
6.6,0.27,3.1,41,188,11.3,5
6.8,0.29,1.4,122.5,234.5,10,4
7.1,0.28,1.9,12,86,9.4,5
6.8,0.25,14,47,133,12.2,7
7,0.57,8.3,23,188,9.2,4
7.1,0.28,1.9,12,86,9.4,5
7.1,0.17,7.4,49,182,9.6,6
7.8,0.28,1.4,24,130,9.5,5
6.8,0.22,1.7,38,195,12.5,6
7.1,0.17,7.4,49,182,9.6,6
6.1,0.14,1.3,37,173,10,6
6.4,0.24,11.6,60,211,9.3,5
7.8,0.42,9.2,34,199,9.3,6
6.6,0.28,1.7,22,101,11.6,6
7.1,0.32,14.5,46,150,12.5,8
6.7,0.31,2.1,18,130,10.6,6
6.4,0.32,10.7,57,206,9.4,5
6.1,0.28,6.9,44,201,9.1,6
5.9,0.29,12,48,224,9,6
5.8,0.32,4.75,23,94,11.8,7
5.8,0.32,4.75,23,94,11.8,7
5.7,0.32,4.75,23,94,11.8,7
6.7,0.28,1.4,64,159,10,5
6.8,0.34,1.3,12,171,9.7,5
5.9,0.25,11.3,30,165,9.5,6
6.4,0.27,4.5,61,174,9.4,5
8.1,0.46,1.7,50,183,11.2,5
6.2,0.36,13.2,54,201,9,5
6.8,0.22,5.5,21,114,10.7,7
6.8,0.67,13,22,193,9,4
7.2,0.28,10.7,61,222,9.1,6
6.7,0.17,2,34,125,10.8,7
6.9,0.2,1.9,25,136,10.1,4
6.1,0.36,6.4,36,198,9.9,6
6,0.36,6.3,36,191,9.8,5
5.9,0.37,6.3,34,185,9.8,5
7.6,0.29,17.5,51,225,9.5,6
6.3,0.34,14.7,49,198,9.5,5
6.7,0.19,1,22,94,11.1,6
7.5,0.31,14.8,62,204,9.5,5
7.5,0.31,14.8,62,204,9.5,5
7.4,0.31,14.2,62,204,9.4,5
8.4,0.4,13.1,29,197,9.7,5
5.9,0.34,2.4,19,135,13.9,7
6.6,0.38,1.2,20,84,10.1,4
6.4,0.33,1.1,30,110,10.5,6
5.6,0.25,3.6,18,115,12.6,6
8.6,0.27,6.1,13,41,10.9,5
6.2,0.31,6.3,50,218,10,5
7.2,0.18,4.4,57,166,11.2,6
7.7,0.2,13.9,44,130,10,6
6.2,0.47,1,13,98,9.2,5
6.1,0.25,12.1,51,172,9.5,5
8.2,0.27,1.6,31,128,12.3,6
8.2,0.27,1.6,31,128,12.3,6
6.4,0.31,7.5,57,213,10,5
6,0.39,2.7,39,187,10.8,6
6.2,0.21,1.7,41,150,10.5,7
7.7,0.42,9.2,22,221,9.2,6
7,0.27,18.75,34,157,9.1,5
6.2,0.21,1.7,41,150,10.5,7
7.4,0.29,1.8,35,127,10.2,7
6.6,0.29,9,62,178,8.9,5
6,0.3,1.5,15,182,10.4,5
6.9,0.31,1.6,23,128,11.7,6
6.6,0.33,1.3,29,89,12.4,8
7.8,0.3,1.8,23,122,10.9,7
6.4,0.39,1.2,35,136,10.2,5
6.4,0.24,2.8,41,114,11.7,7
7,0.21,8,19,101,9.4,5
6.4,0.16,5.3,42,157,10.5,5
6,0.33,0.8,12,188,9.4,5
6.5,0.23,13.8,25,139,10.4,6
6.2,0.25,10,78,240,9.5,6
8.8,0.28,6,14,49,11.1,7
6.6,0.25,14.4,40,183,9.1,6
6.9,0.38,9.8,28,191,9.2,5
6.4,0.25,5.5,15,129,9.6,6
6.6,0.25,14.4,40,183,9.1,6
6.9,0.38,9.8,28,191,9.2,5
7.1,0.21,3.8,40,142,10.8,7
6.4,0.25,5.5,15,129,9.6,6
6.9,0.39,4.6,5,19,12.6,3
5.8,0.2,1.5,21,57,11,6
7,0.2,2,26,136,10.2,6
5.9,0.26,12.5,38,152,9.4,5
7.4,0.38,7.5,24,160,10,5
7.4,0.2,2.1,34,113,12.2,6
7,0.21,8.5,31,253,10.5,6
7.2,0.29,7.6,56,177,11.5,6
6.9,0.18,8.1,44,176,9.8,6
7.3,0.3,7.35,51,175,11.4,6
7.2,0.29,7.6,56,177,11.5,6
6.9,0.2,10,78,167,10.2,6
6.7,0.2,14,83,160,9.4,6
7,0.21,8.5,31,253,10.5,6
5.9,0.35,2.2,14,138,9.1,5
7.1,0.28,1.8,32,107,12.2,7
5.8,0.25,11.1,45,175,9.5,5
6.8,0.22,15.2,68,178,9.3,6
7.1,0.14,1.2,55,136,9.8,7
7.1,0.13,1.2,54,134,9.8,7
6.9,0.18,8.1,44,176,9.8,6
7,0.2,8.1,42,173,9.8,6
6.8,0.24,19.3,55,247,8.7,5
5,0.44,18.6,38,128,10.2,6
6.3,0.3,5,36,168,9.5,6
7.2,0.27,1.6,35,135,11,6
6.7,0.5,13.4,81,238,9.2,5
6.8,0.2,1.6,7,46,10.9,6
6.7,0.11,8.8,41,113,9.3,7
6.7,0.11,8.8,41,113,9.3,7
6.8,0.12,5.2,29,120,9.8,7
6.6,0.16,1.1,58,140,9.3,7
6.6,0.21,1.1,61,144,9.3,7
6.1,0.27,16.7,49,172,9.4,5
9.1,0.27,10.6,28,124,10.4,9
6.4,0.225,2.2,29,104,12.1,6
8.3,0.14,1.5,18,98,11,6
7.2,0.23,13.7,47,197,9,5
6.9,0.22,15,59,178,9.5,7
8.1,0.17,14.1,43,145,8.8,8
6,0.395,1.4,7,55,11.2,4
7.8,0.29,9.5,44,213,9.3,6
6.9,0.22,15,59,178,9.5,7
8.1,0.17,14.1,43,145,8.8,8
7.2,0.23,13.7,47,197,9,5
7.6,0.3,10.6,31,119,9.3,6
7.7,0.34,11,31,117,9.2,6
7.7,0.34,11,31,117,9.2,6
5.8,0.34,7,26,116,10,7
7.6,0.3,10.6,31,119,9.3,6
7.7,0.34,11,31,117,9.2,6
5.9,0.24,2,28,92,10.9,7
6.4,0.46,4.9,34,144,10,5
5.9,0.24,2,28,92,10.9,7
7.4,0.32,1.4,38,173,9.3,5
7.2,0.31,7.3,37,157,9,5
7.8,0.42,8.8,42,215,9.2,6
6.9,0.24,12.5,47,153,9.6,6
5.4,0.18,4.8,30,113,9.4,6
6,0.18,1.4,14,75,11.1,8
7.8,0.27,11.2,44,161,8.9,6
6,0.28,6.8,61,222,9.3,5
6.8,0.39,11.6,57,220,9.3,5
6.6,0.21,11.4,46,165,9.8,7
7.3,0.32,6.6,24,112,9.8,6
7.8,0.27,11.2,44,161,8.9,6
6.4,0.31,13.2,57,205,9.6,5
6.2,0.29,13.1,55,204,9.6,6
6,0.39,12,65,246,9,6
6.2,0.3,13.4,57,206,9.5,6
6,0.28,6.8,61,222,9.3,5
6,0.41,1.5,17,120,9.2,6
6.4,0.35,1.1,9,160,9.1,7
6.5,0.26,16.5,44,166,9.5,6
7.9,0.35,15.6,44,229,10.5,6
6.2,0.3,2.8,24,125,9,5
8.4,0.18,5.1,7,77,11.7,5
6.6,0.56,8.9,27,133,9.1,5
6.2,0.3,2.8,24,125,9,5
6.6,0.56,8.9,27,133,9.1,5
6.6,0.36,1.6,24,85,12.4,9
7.3,0.655,10.2,28,212,9.2,6
6.8,0.18,5.4,34,104,9.4,5
6.7,0.19,6.2,36,117,9.6,6
8.4,0.18,5.1,7,77,11.7,5
7,0.21,7.2,36,167,9.8,6
6.8,0.25,8.1,24,155,10.2,6
7.4,0.24,2,27,139,12.5,9
7.1,0.16,10.7,20,90,10.9,7
7.1,0.16,1.2,21,90,11,7
7.3,0.205,1.7,34,110,10.5,6
7.4,0.17,5.5,34,161,11.5,4
7.3,0.3,2.7,34,108,12.8,8
6.9,0.25,1.3,27,82,12.2,6
7.3,0.205,1.7,34,110,10.5,6
7.5,0.42,4.3,34,108,12.8,8
7.3,0.25,2.1,30,177,11.9,8
7.3,0.25,2.1,30,177,11.9,8
7.3,0.25,2.1,30,177,11.9,8
7.5,0.34,6,12,126,12,7
7.6,0.33,6.3,12,126,12,7
8.7,0.23,13.4,35,169,8.8,7
8.7,0.23,13.4,35,169,8.8,7
6.9,0.19,1.7,33,101,10.8,7
7.3,0.21,1.6,29,118,11,8
7.3,0.21,1.6,29,118,11,8
6.6,0.22,15.4,62,153,9.3,5
9.2,0.34,1.2,17,73,10.8,5
8.7,0.23,13.4,35,169,8.8,7
6,0.2,1.8,30,105,11.5,6
6.9,0.19,1.7,33,101,10.8,7
8.2,0.38,13.6,58,166,9.4,5
6.9,0.18,1.3,40,117,9.5,7
7.7,0.34,11.1,41,151,8.6,5
6.9,0.18,1.3,40,117,9.5,7
7.4,0.2,2.1,30,116,10.3,7
8.2,0.38,13.6,58,166,9.4,5
8.2,0.4,13.7,59,169,9.4,5
6.7,0.22,10.2,60,149,10,7
6.6,0.3,4.8,60,166,9.4,5
8.1,0.27,1.7,38,103,10.4,8
7.3,0.25,14.2,57,182,9.1,7
4.8,0.34,6.5,33,163,9.9,6
6.2,0.28,1.7,24,111,12.1,6
4.8,0.33,6.5,34,163,9.9,5
6.1,0.27,2.2,26,117,12.5,6
6.9,0.18,1.3,40,117,9.5,7
7.8,0.18,12.6,41,143,8.5,8
7.3,0.28,14.4,49,173,9,7
7.3,0.24,1.2,37,97,10.1,6
6,0.45,9.7,11,159,9.4,5
7.7,0.34,11.1,41,151,8.6,5
6.3,0.26,4,24,125,10.7,6
10.3,0.17,1.4,5,33,9.6,3
7.7,0.15,1.3,10,64,10.1,5
7.1,0.21,2.2,28,141,10,7
6.9,0.36,4.2,57,119,12.7,9
6,0.28,1.6,33,104,10.2,6
6.2,0.16,1.4,37,110,8.9,6
6.9,0.12,2.2,18,111,11.9,8
7.1,0.21,2.2,28,141,10,7
8.8,0.36,1.9,9,121,9.9,6
7.4,0.26,6,22,125,11.5,6
7.4,0.26,6,22,125,11.5,6
6.8,0.23,12.2,38,236,9.8,6
6.1,0.34,2.6,20,105,12.2,7
7.3,0.26,1.6,39,173,11.4,6
6.5,0.3,2,34,90,11,7
7.3,0.26,1.6,39,173,11.4,6
6.5,0.3,2,34,90,11,7
5,0.31,6.4,43,166,9.9,6
5.8,0.26,1.2,40,114,11,7
5.9,0.26,1,38,114,9.4,5
7,0.31,1.4,33,128,12.2,7
5.8,0.26,1.2,40,114,11,7
5.6,0.19,1.1,17,67,10.3,6
6.8,0.18,8.7,52,242,10.5,6
7,0.29,1.6,12,87,10.5,6
6.6,0.26,1.4,13,67,10.9,6
6.8,0.18,8.5,52,242,10.5,6
6.6,0.2,7.9,30,145,11,7
8,0.29,13.2,26,113,9.7,6
6.1,0.28,12.8,63,229,8.9,5
5.9,0.31,7.7,60,206,9.6,6
6.9,0.21,2.4,49,159,8.8,8
8.4,0.19,1.6,9,101,11.1,4
8.3,0.27,1.3,8,72,10.3,4
7.1,0.25,2.1,30,124,12.2,8
8,0.23,9.6,23,159,9.8,4
7.5,0.24,13,46,217,8.8,5
6.3,0.33,5.8,24,144,9.9,5
6.2,0.33,5.6,22,143,9.9,5
6.3,0.34,5.8,22,145,9.9,5
5.8,0.29,0.8,11,30,9.2,5
8,0.32,1.2,11.5,88,9.5,4
5.6,0.29,0.8,11,30,9.2,5
7.4,0.13,4.7,36,137,10.3,7
7.7,0.3,1.6,23,124,11,6
7,0.24,1.4,27,107,11.9,6
8.6,0.18,1.1,20,107,10.2,7
7,0.11,4.6,59,144,9.4,7
7.7,0.32,10.6,56,153,8.9,6
7.7,0.32,10.6,56,153,8.9,6
6.5,0.26,12.9,69,215,10,6
7.9,0.28,2,50,152,10.7,8
6.3,0.27,2.9,13,100,9.8,5
5.4,0.595,2.8,26,80,9.3,5
6.7,0.25,2.9,52,173,9.5,7
6.5,0.25,12,47,179,10,5
6.1,0.36,15,42,115,9,5
7.7,0.17,5.9,21,84,11.9,7
6.4,0.26,12.6,64,230,8.9,5
6.5,0.26,12.5,80,225,10,6
5.9,0.29,7.4,58,205,9.6,5
6.2,0.28,13,64,233,8.9,5
6.1,0.27,6.7,61,230,8.9,5
6.4,0.43,1.4,10,67,11.4,5
6.1,0.36,15,42,115,9,5
6.2,0.35,7.3,56,244,10,6
7.7,0.24,15.3,39,194,9.6,7
6.2,0.34,7.5,40,197,9.7,5
6.3,0.27,11.75,61,212,9.5,6
5.4,0.415,1.6,27,88,10,7
6.9,0.48,3.5,31,135,12.2,7
6.5,0.18,8,16,131,8.7,7
6.7,0.15,5,28,105,10.2,7
8.2,0.345,18.2,55,205,9.6,5
8.5,0.16,1.6,24,147,10,5
6.8,0.705,3.2,10,57,9.5,4
7.3,0.25,6.4,8,84,11.5,5
7.6,0.345,1.9,15,134,9.5,5
7.6,0.22,9.7,26,143,9.8,6
6.5,0.17,1.4,14,99,10.1,6
8.2,0.23,1.3,39,117,10,5
7.6,0.22,9.7,26,143,9.8,6
7.6,0.345,1.9,15,134,9.5,5
7.5,0.32,1.8,13,133,9.5,5
6.6,0.23,0.9,25,79,10.2,7
6.6,0.2,1.1,25,78,10.2,7
7.3,0.24,15.4,38,174,9,6
7.3,0.24,15.4,38,174,9,6
8,0.42,5,34,101,12.3,7
7.3,0.24,15.4,38,174,9,6
6.1,0.19,4,23,112,11.6,6
5.9,0.26,12.5,36,152,9.5,6
8.3,0.23,3.2,14,101,11.5,5
6.5,0.34,1.8,43,188,9.6,6
6.8,0.22,17.5,38,153,9,6
6.5,0.08,1.9,23,93,12,7
5.5,0.42,1.6,18,68,11.4,7
5.1,0.42,1.5,25,102,12.3,7
6,0.27,1.7,24,110,12.6,7
6.8,0.22,17.5,38,153,9,6
6.5,0.08,1.9,23,93,12,7
7.1,0.13,1.8,14,114,11.7,6
7.6,0.3,4.3,22,111,9.2,5
6.6,0.13,4.9,47,131,10.3,6
6.5,0.14,7.6,53,189,8.6,5
7.7,0.28,6.7,32,155,10.7,7
6,0.2,1.6,10,54,9.8,5
6,0.19,1.5,9,55,9.8,6
7.7,0.28,6.7,32,155,10.7,7
5.1,0.39,1.7,15,72,12.5,6
5.7,0.36,4.2,21,77,11.9,6
6.9,0.19,1.6,63,149,10.8,5
6,0.41,1.9,29,122,10.5,6
7.4,0.28,5.3,44,161,10.3,6
7.4,0.3,5.2,45,163,10.3,6
6.9,0.19,1.6,63,149,10.8,5
7.7,0.28,8.9,8,117,12,7
8.6,0.16,3.4,41,143,10.2,6
8.2,0.26,1.3,7,69,10.2,4
6.5,0.25,15.2,75,217,9.9,5
7,0.24,1.3,9,62,10.1,4
8.6,0.18,1.8,24,187,9.5,6
7.8,0.27,1.6,27,154,10.5,6
6,0.26,1.3,6,29,10.4,5
6.1,0.24,9.8,33,152,9.5,6
8,0.24,17.45,43,184,9.2,6
7.6,0.21,2.1,47,165,10.1,7
8,0.19,1.8,16,84,9.8,7
6.4,0.28,6.8,61,216,9.4,5
6.4,0.28,7.1,60,221,9.4,6
6.9,0.24,1.3,18,136,10.4,7
5.8,0.36,3.3,40,153,11.3,6
6.6,0.18,3.3,18,91,10.8,6
5.8,0.36,3.3,40,153,11.3,6
5.1,0.52,2.7,30,79,9.3,5
6.6,0.22,1.2,45,199,10.3,7
8.3,0.15,1.3,32,146,10.5,6
7.6,0.16,1.4,25,109,10.3,6
7.7,0.16,1.7,60,173,11.2,7
8.3,0.16,1.7,31,98,10.3,6
6.2,0.25,11.6,62,210,9.5,5
6.1,0.16,12.6,63,162,8.9,5
7.6,0.39,2.8,19,113,10.2,5
6.8,0.37,11.2,44,136,9.2,5
7.6,0.16,1.4,25,109,10.3,6
7.1,0.18,1.4,47,157,10.5,6
8.3,0.14,1.5,56,189,9.5,6
8.6,0.2,1.5,35,125,11.4,7
8.6,0.2,1.5,35,125,11.4,7
6.8,0.19,7.05,54,188,11.1,8
7.6,0.19,10.6,48,174,10.5,6
6.8,0.34,2.8,23,185,12,6
6.2,0.15,1.6,38,123,9.7,6
6.6,0.14,1.6,47,140,10.2,6
8,0.55,8.2,13,60,9.5,4
7,0.24,1.5,51,128,10.4,7
6.3,0.6,11,50,245,9.3,4
7.1,0.2,2.1,24,166,10.5,6
6.2,0.34,7.6,45,232,10,6
7.1,0.3,6.8,44.5,234,10.2,6
7.1,0.3,6.8,44.5,234,10.2,6
7.9,0.64,10.6,33,227,9.1,3
8.8,0.17,1.8,39,148,10.2,6
7.5,0.17,1.5,18,75,10.7,5
7.1,0.47,6,11,77,9.7,5
7.1,0.15,5.3,33,104,9.3,7
7.5,0.17,1.4,13,102,11,5
8.2,0.68,2.1,17,138,10.8,4
7.7,0.275,1,19,75,10.7,5
7.3,0.49,5.2,18,104,10.7,4
7.5,0.33,19.45,55,243,8.8,5
7.2,0.21,1.6,23,94,10.9,7
7.3,0.15,2,24,92,10.5,5
6.5,0.19,1.3,23,107,10,5
7,0.31,1.7,5,61,10.4,5
8.3,0.4,1.1,15,75,9.2,5
6.1,0.37,4.7,36,116,12.6,6
7.3,0.24,7.5,29,152,9,5
6.9,0.21,1.1,52,123,9.2,6
7.6,0.29,1.3,18,86,11.3,5
9.4,0.29,2.2,17,119,10.3,4
7,0.31,1.7,5,61,10.4,5
8.6,0.26,2.2,29,111,10,5
7.5,0.21,1.2,26,111,10.7,6
7.2,0.51,10,35,197,9,5
7.5,0.21,1.2,26,111,10.7,6
5.3,0.3,1.1,48,166,8.7,4
8,0.26,2,30,121,11.6,7
7,0.21,7.5,45,185,9.4,5
6.7,0.26,4,35.5,216,9.5,5
6.7,0.26,4.1,36,202,9.5,5
8.1,0.26,1.9,48,159,10.9,6
8.3,0.22,14.8,32,126,9.7,5
6.4,0.3,5.5,62,172,9.1,6
7.5,0.19,2.6,33,125,11.1,7
8.8,0.33,6.35,9,87,12.6,7
6.9,0.2,1.5,38,147,11,6
8,0.37,1.6,32,166,11.3,7
8.3,0.22,14.8,32,126,9.7,5
8.2,0.29,9.1,28,118,10.9,7
7.7,0.34,8,25,192,10.9,5
6.2,0.55,12,27,186,9.3,6
6.4,0.4,3.2,28,124,12.7,7
7.5,0.28,7.7,42,180,10.1,6
7.8,0.26,1.3,43,132,10,5
6.5,0.26,16.3,56,197,9.8,5
6.3,0.34,6.2,29,227,10.1,6
6.8,0.15,4.7,31,118,9,7
6.3,0.27,5.8,52,155,9.4,6
6.3,0.27,5.8,52,155,9.4,6
7.4,0.2,16.95,43,190,9.2,6
6.3,0.23,5.1,29,142,10.1,7
7.3,0.31,10.2,58,160,8.6,5
5.2,0.24,3.8,21,128,11.2,8
7,0.24,1.3,39,123,11.2,8
7.4,0.2,16.95,43,190,9.2,6
7,0.17,4,17,127,10.6,7
8.3,0.21,17.1,62,213,9.3,6
7.2,0.21,14.5,35,178,8.9,6
7.1,0.21,1.2,24,156,10.6,6
8.4,0.17,6.7,29,132,10.6,7
7.4,0.24,8.4,52,183,8.8,5
5.3,0.24,1.3,25,97,11,8
6.5,0.28,8.8,44,139,10.2,6
6.3,0.23,5.1,29,142,10.1,7
6.5,0.29,10.6,32,120,10.1,6
5.8,0.29,2.6,12,120,14,7
6.3,0.27,5.8,52,155,9.4,6
6.3,0.17,2.8,45,107,11.8,6
6.3,0.16,1.6,59,148,11.4,5
7.9,0.29,6.7,6,117,10.7,5
7.3,0.31,10.2,58,160,8.6,5
5.5,0.32,4.9,25,191,11.5,7
5.2,0.24,3.8,21,128,11.2,8
7.2,0.37,2,27,87,12.6,7
6.1,0.29,1.7,13,76,12.6,7
9.2,0.22,2.4,18,151,9.3,4
7.2,0.37,2,27,87,12.6,7
8,0.18,1.3,15,96,12.1,6
6.5,0.22,12,55,177,9.9,6
7.4,0.18,1.6,22,102,10.7,5
6.5,0.52,1.4,5,26,10,4
7,0.15,2.2,33,96,10.4,8
5.9,0.415,1.4,11,64,10.5,5
8.1,0.45,8.3,33,216,9.7,5
5.8,0.415,1.4,11,64,10.5,5
6.4,0.5,12.9,26,138,9,5
6.7,0.105,12.4,34,106,9.2,6
6,0.4,1.6,30,117,10.1,6
6.6,0.25,1.45,40,89,11.4,7
9.8,0.36,1.6,11,124,10.8,5
9.6,0.23,1.5,19,135,10.9,5
6.3,0.55,13,33,182,9.2,6
6.5,0.115,1.95,73,166,12.9,7
6.4,0.125,5.85,24,99,12,7
5.7,0.1,1.3,21,100,9.5,5
7.9,0.25,5.3,33,117,11.8,7
6.9,0.2,1.2,36,159,9.1,6
6.9,0.23,4,24,128,9.7,6
6.8,0.39,14.35,28,162,9.1,5
8.7,0.22,2.3,27,114,10,5
7.4,0.41,4.7,19,127,10.4,5
6.7,0.25,12.85,30,161,9.5,6
6,0.26,5.2,70,178,12.3,8
6.1,0.31,8.4,70,170,11.7,8
9.2,0.28,3.2,39,133,9.5,5
9,0.31,6.9,26,91,11.5,5
8.5,0.16,1,17,57,10.6,6
9.3,0.34,7.3,30,146,10.2,5
9.2,0.28,3.2,39,133,9.5,5
7.2,0.24,1.6,27,131,10.5,5
7.2,0.25,1.5,27,132,10.5,5
6.8,0.32,7.5,71,223,8.9,5
9.1,0.27,1.1,15,151,10.6,5
8.9,0.34,1.3,12,188,9.5,5
7,0.17,5.7,29,111,10.8,6
6.7,0.25,7.2,61,220,9.5,5
6.9,0.32,7.6,69,219,8.9,5
6.8,0.32,7.5,71,223,8.9,5
6.1,0.6,1.3,24,79,9.4,4
5.3,0.395,1.3,26,102,10.6,6
7.9,0.16,4.8,37,171,9,4
7.6,0.33,2.1,26,172,10.5,4
7.8,0.3,16.85,23,135,9,6
7.8,0.3,16.85,23,135,9,6
5.7,0.26,4.1,73.5,189.5,9.4,6
7.8,0.3,16.85,23,135,9,6
7.5,0.14,1.3,50,153,9.6,6
7.8,0.3,16.85,23,135,9,6
6.6,0.25,7.4,29,151,10.2,7
5.7,0.26,4.1,73.5,189.5,9.4,6
8.2,0.23,0.9,15,73,10.4,6
6,0.24,6.3,34,129,10.4,5
6.1,0.45,0.8,13,82,9.5,5
7.4,0.23,1.4,22,113,10.6,6
7.2,0.2,1,21,74,11,5
7.5,0.14,1.3,50,153,9.6,6
7.7,0.25,4.5,20,115,9.9,6
8.2,0.61,5.4,15,118,9.6,5
7.6,0.21,1.9,10,119,12.8,6
7.4,0.22,2,31,101,11.4,5
7.2,0.26,12.7,49,214,10,6
6.4,0.25,8.6,57,173,9.1,5
6.3,0.32,11.1,29,198,9.4,7
6.8,0.25,2,19,189,10.2,6
9.8,0.44,2.8,35,167,9.2,5
7.2,0.2,4.5,31,109,9.4,5
8.2,0.61,5.4,15,118,9.6,5
7.5,0.42,9.1,20,125,10.1,6
7.4,0.22,2,31,101,11.4,5
6.4,0.26,2.2,33,134,10.6,6
7.9,0.46,4.1,40,138,12.8,7
6.5,0.41,11.8,65,225,8.9,5
7.5,0.32,1.2,22,184,9.3,5
6.6,0.21,2.2,40,104,11.1,8
7.1,0.21,1.4,45,143,9.9,6
7.6,0.26,1.6,5,55,9.6,5
7.6,0.21,1.9,10,119,12.8,6
6.9,0.25,5.2,36,135,10.7,7
7.1,0.26,14.45,29,107,9.2,6
7.3,0.22,14.75,44.5,129.5,9.1,7
6.2,0.37,8.3,36,216,9.6,6
7.9,0.22,14.2,53,141,9.2,6
6.9,0.25,5.2,36,135,10.7,7
7.3,0.22,14.75,44.5,129.5,9.1,7
7.1,0.26,14.45,29,107,9.2,6
7.4,0.25,6.9,14,93,10.7,7
6.8,0.18,1.5,37,93,10.8,6
7,0.17,1.5,26,75,10.8,7
6.4,0.3,7.8,35,192,9,5
5,0.33,1.5,10,97,10.7,6
5,0.33,1.5,10,97,10.7,6
8.9,0.33,1.5,11,200,9.4,5
7,0.26,15.55,61,171,8.8,6
6.4,0.3,7.8,35,192,9,5
6.3,0.21,1.7,48,134,11.5,6
8,0.23,1.5,30,125,12.5,6
9.2,0.28,1,14,59,10.5,6
7.3,0.27,6.7,28,188,9.7,5
7.6,0.32,1.6,32,155,11.3,6
5,0.33,1.5,10,97,10.7,6
9.7,0.24,1.2,11,59,10.8,6
8,0.28,7.1,41,169,10.6,5
8.2,0.37,1,17,93,11.7,8
8,0.61,12.1,24,220,9.2,5
7.2,0.26,7.1,25,126,11.1,8
8.2,0.37,1,17,93,11.7,8
6.4,0.23,1.15,15.5,217.5,11,6
5.9,0.4,6,50,127,12.5,7
7.6,0.28,1.2,21,115,10,6
8,0.28,7.1,41,169,10.6,5
7.2,0.23,2.3,29,102,12.3,7
6.8,0.32,3.4,19,87,12.7,6
7.2,0.23,2.3,29,102,12.3,7
6.9,0.18,6.5,20,110,10.5,5
9.4,0.26,1.2,25,109,12.5,6
8.3,0.33,1.15,18,96,12.4,3
7.3,0.29,13,46,238,8.7,6
7.9,0.41,4.5,40,114,12.4,7
7.9,0.44,5.85,27,93,12.6,7
7.7,0.39,5.2,29,131,11,6
7.7,0.26,1.3,47,155,10.1,6
7.8,0.32,1.7,46,195,10.5,5
6.8,0.32,3.4,19,87,12.7,6
7.3,0.24,3.6,35,116,10.9,5
7.1,0.44,2.7,35,128,13.5,7
10.3,0.25,2.2,28,164,9.7,5
7.9,0.14,1.8,44,178,9.2,6
7.4,0.18,2.1,33,187,10.6,7
8.1,0.43,6.6,36,141,13.3,7
7.1,0.44,2.7,35,128,13.5,7
6.4,0.26,5.1,23,131,10.1,5
8,0.66,17.55,62,233,9.4,4
8,0.2,5.2,41,167,10.6,7
7.2,0.21,1.1,25,80,11.3,6
7.2,0.18,1.1,20,73,10.8,7
8.4,0.57,10.7,46,195,10.4,5
5.3,0.26,5.15,48,160,10.5,7
5.7,0.245,1.1,28,150,9.3,5
5.6,0.245,1.1,24,152,9.3,6
7.3,0.25,1.8,52,165,12.2,7
7,0.16,1,58,150,9.2,5
6.4,0.22,1.8,29,104,10.3,6
7.3,0.18,1.4,28,157,9.4,6
6.4,0.17,6.7,88,223,10.2,6
6.9,0.29,6.8,65,212,9,6
6.2,0.21,6.8,64,245,9.3,6
6.4,0.23,7.1,63,236,9.2,6
7.3,0.19,1.5,31,156,9.4,6
7.3,0.18,1.4,28,157,9.4,6
9.6,0.29,1.45,77.5,223,9.5,6
7.2,0.14,1.2,15,73,9.9,5
6.9,0.31,7.4,36,174,11.1,7
7.5,0.28,4.2,36,116,12.3,8
8,0.22,14.6,45,163,8.6,7
7.6,0.31,10.5,21,145,9.4,5
8.4,0.35,13.8,55,190,9.4,6
8,0.22,14.6,45,163,8.6,7
8.1,0.5,1.1,23,126,10.9,5
7,0.39,5.3,32,162,9.4,5
8.1,0.5,1.1,23,126,10.9,5
8.4,0.35,13.8,55,190,9.4,6
6.2,0.22,1.5,20,132,9.2,6
8,0.22,14.6,45,163,8.6,7
7.6,0.31,10.5,21,145,9.4,5
7,0.24,4.9,10,133,10.8,6
6.6,0.27,1.9,14,153,10.5,6
7.8,0.16,1.7,29,140,12.5,6
7.7,0.27,1.8,26,168,12.1,7
7.4,0.31,10.7,51,147,8.7,5
8,0.45,8.8,50,151,12.7,8
7.7,0.27,1.8,26,168,12.1,7
7.8,0.16,1.7,29,140,12.5,6
6.6,0.16,1.8,40,147,11.4,7
8.3,0.21,1.6,35,110,12.9,7
7.2,0.32,1.4,29,109,12.8,7
6.6,0.16,1.6,15,78,11.2,6
8.4,0.16,1.5,16,98,9.7,6
7.5,0.23,9.2,54,191,9.7,6
6.2,0.17,1.1,14,79,10.3,6
6.9,0.39,4.3,10,102,11.6,4
6.9,0.41,4.2,10,102,11.6,4
7.5,0.23,9.2,54,191,9.7,6
7.5,0.38,5,30,131,10.9,6
7.3,0.42,6.8,29,122,12.6,7
7.3,0.34,5.2,45,163,12.4,6
7.8,0.23,4.75,45,166,11.5,5
9,0.245,5.9,52,159,10.2,6
6.9,0.2,7.7,51,176,11.4,5
7.4,0.19,6.4,39,212,9.6,6
